size  Skiplist (0.1)  Skiplist (0.5)  Skiplist (0.9)  SortedArray  Treap
10, 0.06, 0.05, 0.08, 0.05, 0.05
11, 0.08, 0.06, 0.11, 0.06, 0.06
12, 0.08, 0.08, 0.14, 0.06, 0.07
13, 0.11, 0.10, 0.15, 0.06, 0.08
14, 0.16, 0.12, 0.17, 0.07, 0.10
15, 0.21, 0.14, 0.18, 0.07, 0.12
16, 0.25, 0.16, 0.22, 0.08, 0.12
17, 0.28, 0.19, 0.25, 0.09, 0.15
18, 0.39, 0.25, 0.30, 0.10, 0.18
19, 0.52, 0.33, 0.36, 0.11, 0.23
20, 0.68, 0.40, 0.42, 0.12, 0.31
21, 0.85, 0.47, 0.48, 0.13, 0.37
22, 0.99, 0.54, 0.52, 0.14, 0.44
23, 1.13, 0.61, 0.57, 0.15, 0.47
24, 1.27, 0.68, 0.71, 0.16, 0.54
25, 1.64, 0.81, 0.84, 0.17, 0.59
26, 2.01, 0.94, 0.98, 0.18, 0.66
27, 2.36, 1.06, 1.10, 0.19, 0.74
28, 2.76, 1.20, 1.29, 0.20, 0.84
29, 3.16, 1.35, 1.53, 0.21, 0.93
30, 3.58, 1.55, 1.80, 0.22, 1.03
